"Cost_of_Goods_Sold_EURO","Quantity_units","Number_of_Deliveries","N_Parts","Assembly_Labour_Minutes","Machinery_Minutes","Geographical_Area","Plant","Customer_Class","Turnover_Range_EURO","Product_Line","Product_Type","Total_Cost_of_Distribution","Total_Customer_Order_Management_Costs","Customer_related_Issues_Costs","Total_Operations_Costs"
652.22,3,18,32,78,4201,"CEU","Northern Italy","Nationals","e >500","Plugs and Caps","Caps",67.31,56.22,24.18,173.92
473.08,8,4,11,0,1,"ITA","Northern Italy","Others","e >500","Plugs and Caps","Caps",47.88,66.76,0.38,42.28
236.54,4,4,11,0,1,"UKE","Northern Italy","Others","c 100-250","Plugs and Caps","Caps",21.19,39.96,0.29,21.14
2425.54,30,18,11,0,1,"ITA","Northern Italy","Others","e >500","Plugs and Caps","Caps",116.38,338.91,1.63,320.76
1070.16,10,4,11,80,4230,"ITA","Northern Italy","Others","e >500","Plugs and Caps","Caps",78.62,154.29,1.18,231
643.4,5,18,21,40,2966,"NAM","USA","Strategic","Strategic","Plugs and Caps","Caps",114.83,81.84,58.25,272.66
2134.96,30,18,10,300,2496,"ITA","Northern Italy","Others","d 250-500","Plugs and Caps","Caps",164.89,329.2,2.95,668.98
1304.01,45,64,9,135,1098,"ITA","Northern Italy","Nationals","c 100-250","Plugs and Caps","Caps",142.42,273.95,2.1,238.62
2917.49,102,60,9,255,2083,"ITA","Northern Italy","Nationals","c 100-250","Plugs and Caps","Caps",237.06,615.48,4.81,463.94
1726.42,55,51,9,137.5,1108,"ITA","Northern Italy","Nationals","c 100-250","Plugs and Caps","Caps",110.06,360.22,2.61,256.25
1149.91,33,18,1,0,1,"IAM","Northern Italy","Others","e >500","Plugs and Caps","Spare Parts",80.92,115.28,11.41,13.28
9509.8,80,51,13,240,2022,"CEU","Northern Italy","Nationals","e >500","Plugs and Caps","Caps",503.35,752.14,19.86,707.31
113.74,2,18,13,1254,3640,"SAM","Brasil","Others","d 250-500","Plugs and Caps","Caps",31.87,13.78,0.12,11.73
1137.41,20,4,13,1254,3718,"CEU","Northern Italy","Others","c 100-250","Plugs and Caps","Caps",94.4,153.13,1.42,117.28
2502.31,44,18,13,1254,1091,"CEU","Northern Italy","Nationals","e >500","Plugs and Caps","Caps",158.77,202.33,5.99,258.02
6540.13,115,29,13,1254,2632,"IAM","Northern Italy","Others","e >500","Plugs and Caps","Caps",234.54,667.04,77.26,653.63
568.71,10,4,13,1254,2490,"SCA","Northern Italy","Others","d 250-500","Plugs and Caps","Caps",24.23,68.01,0.98,58.64
284.35,5,4,13,1254,1192,"CEU","Northern Italy","Others","a 0-20","Plugs and Caps","Caps",18.13,82.73,0.36,29.32
227.48,4,4,13,1254,966,"SCA","Northern Italy","Others","b 20-100","Plugs and Caps","Caps",11.29,43.62,0.3,23.46
170.61,3,18,13,1254,4349,"IAM","Northern Italy","Others","a 0-20","Plugs and Caps","Caps",14.55,74.45,0.22,17.59
5402.72,95,40,13,1254,2437,"ITA","Northern Italy","Others","e >500","Plugs and Caps","Caps",303.92,782.67,6.14,557.1
3412.24,60,29,13,1254,1361,"ITA","Northern Italy","Others","d 250-500","Plugs and Caps","Caps",180.18,526.43,4.76,351.85
853.06,15,18,13,1254,3115,"UKE","Northern Italy","Others","c 100-250","Plugs and Caps","Caps",41.93,147.73,1.55,87.96
1080.54,19,40,13,1254,3661,"CEU","Northern Italy","Others","e >500","Plugs and Caps","Caps",67.05,166.52,1.65,111.42
1137.41,20,18,13,1254,3718,"SAM","Northern Italy","Others","d 250-500","Plugs and Caps","Caps",25.13,75.82,1.11,117.28
1501.23,28,4,13,1637.5,3998,"SAM","Brasil","Others","d 250-500","Plugs and Caps","Caps",481.58,205.29,1.82,142.75
268.08,5,4,13,1637.5,1023,"NAM","Northern Italy","Others","e >500","Plugs and Caps","Caps",13.86,21.51,0.72,25.49
3538.6,66,40,13,1637.5,1274,"CEU","Northern Italy","Others","c 100-250","Plugs and Caps","Caps",322.09,479.29,4.68,336.49
9865.2,184,64,13,1637.5,3150,"CEU","Northern Italy","Nationals","e >500","Plugs and Caps","Caps",678.27,784.87,21.4,917.33
5629.6,105,29,13,1637.5,2108,"IAM","Northern Italy","Others","e >500","Plugs and Caps","Caps",244.92,577.56,70.54,514.57
1340.38,25,29,13,1637.5,3766,"SCA","Northern Italy","Others","d 250-500","Plugs and Caps","Caps",67.9,161.46,2.45,127.46
536.15,10,29,13,1637.5,2037,"SCA","Northern Italy","Others","b 20-100","Plugs and Caps","Caps",31.17,103.33,0.74,50.98
6433.82,120,51,13,1637.5,2496,"ITA","Northern Italy","Others","e >500","Plugs and Caps","Caps",411.92,936.69,7.76,591.04
2466.3,46,64,13,1637.5,981,"ITA","Northern Italy","Others","d 250-500","Plugs and Caps","Caps",167.81,394.69,5.58,234.52
965.07,18,29,13,1637.5,3115,"UKE","Northern Italy","Others","c 100-250","Plugs and Caps","Caps",54.99,167.6,1.83,91.77
1715.69,32,29,13,1637.5,4230,"CEU","Northern Italy","Others","e >500","Plugs and Caps","Caps",120.37,266.05,2.77,163.14
1349.46,24,4,13,1912.5,3718,"SAM","Brasil","Others","d 250-500","Plugs and Caps","Caps",288.01,126.7,1.12,125.56
1124.55,20,4,13,1912.5,3373,"CEU","Northern Italy","Nationals","e >500","Plugs and Caps","Caps",60.24,88.75,2.32,104.64
7309.59,130,18,13,1912.5,2569,"IAM","Northern Italy","Others","e >500","Plugs and Caps","Caps",206.73,746.35,87.34,659.39
562.28,10,18,13,1912.5,2037,"SCA","Northern Italy","Others","d 250-500","Plugs and Caps","Caps",19.74,67.33,0.98,52.32
337.37,6,18,13,1912.5,1192,"SCA","Northern Italy","Others","b 20-100","Plugs and Caps","Caps",14.25,64.75,0.45,31.39
29238.37,520,64,13,1912.5,373,"ITA","Northern Italy","Others","e >500","Plugs and Caps","Caps",1423.85,4239.62,33.61,2699.81
449.82,8,29,13,1912.5,1839,"ITA","Northern Italy","Others","d 250-500","Plugs and Caps","Caps",23.63,71.48,0.97,41.85
1124.55,20,29,13,1912.5,3373,"UKE","Northern Italy","Others","c 100-250","Plugs and Caps","Caps",46.42,194.69,2.04,104.64
1405.69,25,29,13,1912.5,3766,"CEU","Northern Italy","Others","e >500","Plugs and Caps","Caps",76.7,216.88,2.17,130.8
2001.02,34,18,5,0,1,"SAM","Brasil","Others","d 250-500","Plugs and Caps","Caps",447.98,191.52,1.69,61.33
5296.81,90,40,5,0,1,"CEU","Northern Italy","Nationals","e >500","Plugs and Caps","Caps",313.86,414.18,10.25,141.59
470.83,8,18,5,0,1,"CEU","Northern Italy","Others","b 20-100","Plugs and Caps","Caps",26.43,71.8,0.56,14.43
6179.61,105,18,5,0,1,"IAM","Northern Italy","Others","e >500","Plugs and Caps","Caps",214.4,628.22,70.54,168.65
588.53,10,18,5,0,1,"SCA","Northern Italy","Others","b 20-100","Plugs and Caps","Caps",28.26,113.45,0.74,18.04
5885.35,100,40,5,0,1,"ITA","Northern Italy","Others","e >500","Plugs and Caps","Caps",320.31,850.23,6.46,159.63
1765.6,30,18,5,0,1,"ITA","Northern Italy","Others","d 250-500","Plugs and Caps","Caps",99.65,277.5,3.34,54.11
1471.34,25,51,5,0,1,"CEU","Northern Italy","Others","e >500","Plugs and Caps","Caps",88.34,225.96,2.17,45.09
50594.15,500,4,13,1500,520,"CEU","Northern Italy","Nationals","e >500","Plugs and Caps","Caps",2549.04,4112.14,124.15,3686.04
232.41,2,4,21,11,893,"CEU","Northern Italy","Nationals","e >500","Plugs and Caps","Caps",34.75,23.38,27.21,22.48
118.89,2,4,14,12,966,"FRA","Northern Italy","Strategic","Strategic","Plugs and Caps","Caps",55.01,10.93,0.18,20.4
911.69,17,51,14,42.5,3039,"FRA","Northern Italy","Strategic","Strategic","Plugs and Caps","Caps",264.15,84.08,1.45,86.67
249.91,2,4,27,3052,3645,"CEU","Northern Italy","Others","c 100-250","Plugs and Caps","Caps",18.68,32.87,0.26,68.09
14119.89,113,40,27,3052,2285,"IAM","Northern Italy","Others","e >500","Plugs and Caps","Caps",379.98,1403.25,122.74,3826.53
374.86,3,4,27,3052,4354,"SCA","Northern Italy","Others","b 20-100","Plugs and Caps","Caps",13.82,70.28,0.36,102.14
6872.51,55,40,27,3052,556,"ITA","Northern Italy","Others","e >500","Plugs and Caps","Caps",320.59,973.48,5.7,1872.57
624.77,5,4,27,3052,1148,"ITA","Northern Italy","Others","d 250-500","Plugs and Caps","Caps",30.85,96.8,0.97,170.23
4373.42,35,29,27,3052,63,"UKE","Northern Italy","Others","c 100-250","Plugs and Caps","Caps",148.79,740.83,5.11,1191.63
624.77,5,4,27,3052,1148,"SAM","Northern Italy","Others","d 250-500","Plugs and Caps","Caps",10.48,39.65,0.45,170.23
1470.73,20,4,18,446,2966,"CEU","Northern Italy","Nationals","e >500","Plugs and Caps","Caps",103.5,119.24,3.57,103.3
3676.83,50,4,18,446,842,"IAM","Northern Italy","Others","e >500","Plugs and Caps","Caps",153.37,370.95,39.29,258.25
441.22,6,18,18,446,966,"SCA","Northern Italy","Others","b 20-100","Plugs and Caps","Caps",23.91,83.94,0.52,30.99
3897.44,53,40,18,446,908,"ITA","Northern Italy","Others","e >500","Plugs and Caps","Caps",238.97,560.18,4.01,273.75
1617.81,22,51,18,446,3086,"ITA","Northern Italy","Others","d 250-500","Plugs and Caps","Caps",104.72,254.65,3.12,113.63
4779.88,65,60,18,446,1052,"CEU","Northern Italy","Others","e >500","Plugs and Caps","Caps",318.28,731.79,6.59,335.73
441.22,6,4,18,446,966,"SAM","Northern Italy","Others","d 250-500","Plugs and Caps","Caps",12.91,28.91,0.39,30.99
2127.46,50,60,14,104,842,"ITA","Northern Italy","Nationals","c 100-250","Plugs and Caps","Caps",187.4,440.92,2.99,228.85
1301.13,80,18,3,0,1,"SAM","Brasil","Others","d 250-500","Plugs and Caps","Caps",368.82,141.37,1.25,161.68
243.96,15,4,3,0,1,"NAM","Northern Italy","Others","e >500","Plugs and Caps","Caps",18.71,19.74,0.69,30.32
487.92,30,18,3,0,1,"CEU","Northern Italy","Others","c 100-250","Plugs and Caps","Caps",56.75,65.92,0.68,60.63
7318.84,450,29,3,0,1,"IAM","Northern Italy","Others","e >500","Plugs and Caps","Caps",505.36,754.74,96.35,888.72
813.2,50,18,3,0,1,"SCA","Northern Italy","Others","d 250-500","Plugs and Caps","Caps",62.27,98.59,1.56,101.05
146.38,9,29,3,0,1,"CEU","Northern Italy","Others","a 0-20","Plugs and Caps","Caps",14.66,42.32,0.2,18.19
585.51,36,40,3,0,1,"SCA","Northern Italy","Others","b 20-100","Plugs and Caps","Caps",49.43,114.25,0.85,72.76
227.7,14,51,3,0,1,"IAM","Northern Italy","Others","a 0-20","Plugs and Caps","Caps",28.27,100.9,0.32,28.29
8457.32,520,68,3,0,1,"ITA","Northern Italy","Others","e >500","Plugs and Caps","Caps",753.46,1236.7,10.71,1030.2
1480.03,91,51,3,0,1,"ITA","Northern Italy","Others","d 250-500","Plugs and Caps","Caps",138.11,237.36,3.52,183.92
1626.41,100,51,3,0,1,"UKE","Northern Italy","Others","c 100-250","Plugs and Caps","Caps",130.68,282.69,2.93,202.11
2764.89,170,60,3,0,1,"CEU","Northern Italy","Others","e >500","Plugs and Caps","Caps",264.1,432.49,4.69,343.58
3369.04,25,18,28,4380,4045,"SAM","Brasil","Others","d 250-500","Plugs and Caps","Caps",545.59,226.12,1.98,907.74
5390.46,40,18,28,4380,249,"IAM","Northern Italy","Others","e >500","Plugs and Caps","Caps",160.68,531.69,43.08,1452.39
539.05,4,18,28,4380,984,"CEU","Northern Italy","Others","a 0-20","Plugs and Caps","Caps",26.24,154.17,0.46,145.24
269.52,2,4,28,4380,3679,"SCA","Northern Italy","Others","b 20-100","Plugs and Caps","Caps",10.55,50.3,0.24,72.62
6738.07,50,29,28,4380,495,"ITA","Northern Italy","Others","e >500","Plugs and Caps","Caps",333.73,950.18,5.18,1815.49
3503.8,26,60,28,4380,4173,"ITA","Northern Italy","Others","d 250-500","Plugs and Caps","Caps",182.39,541.67,5.06,944.05
808.57,6,4,28,4380,1323,"UKE","Northern Italy","Nationals","c 100-250","Plugs and Caps","Caps",23.84,82.83,0.8,217.86
673.81,5,4,28,4380,1168,"UKE","Northern Italy","Others","c 100-250","Plugs and Caps","Caps",26.55,114.11,0.86,181.55
17518.99,130,64,28,4380,2733,"CEU","Northern Italy","Others","e >500","Plugs and Caps","Caps",938.07,2618.86,18.05,4699.52
451.19,6,40,18,832,966,"CEU","Northern Italy","Others","c 100-250","Plugs and Caps","Caps",40.58,60.43,0.58,34.32
8271.77,110,4,18,832,1944,"CEU","Northern Italy","Nationals","e >500","Plugs and Caps","Caps",576.55,668.05,19.66,608.51
6015.83,80,29,18,832,1259,"IAM","Northern Italy","Others","e >500","Plugs and Caps","Caps",247.15,606.7,62.86,436.89
4135.89,55,40,18,832,921,"SCA","Northern Italy","Others","d 250-500","Plugs and Caps","Caps",194.59,489.7,6.3,314.63
150.4,2,4,18,832,2898,"CSI","Northern Italy","Others","b 20-100","Plugs and Caps","Caps",12.41,29.88,0.19,11.44
300.79,4,18,18,832,4147,"SCA","Northern Italy","Others","b 20-100","Plugs and Caps","Caps",16.03,57.13,0.35,22.88
150.4,2,18,18,832,2898,"IAM","Northern Italy","Others","a 0-20","Plugs and Caps","Caps",12.75,65.37,0.17,11.44
6015.83,80,60,18,832,1259,"ITA","Northern Italy","Others","e >500","Plugs and Caps","Caps",364.82,863.22,6.05,436.89
4361.48,58,40,18,832,983,"ITA","Northern Italy","Others","d 250-500","Plugs and Caps","Caps",279.04,687.1,8.23,331.79
375.99,5,4,18,832,810,"UKE","Northern Italy","Others","c 100-250","Plugs and Caps","Caps",18.51,63.95,0.52,28.6
375.99,5,4,18,832,810,"CEU","Northern Italy","Others","e >500","Plugs and Caps","Caps",24.74,57.26,0.51,28.6
451.19,6,4,18,832,966,"SAM","Northern Italy","Others","d 250-500","Plugs and Caps","Caps",13.04,29.46,0.39,34.32
934.9,22,29,14,44,3086,"ITA","Northern Italy","Nationals","c 100-250","Plugs and Caps","Spare Parts",84.09,194.04,1.34,870.09
1189.26,6,4,28,228,2529,"SAM","Brasil","Others","d 250-500","Plugs and Caps","Caps",175.83,82.89,0.73,431.38
525.26,7,4,18,724,1141,"SAM","Brasil","Others","d 250-500","Plugs and Caps","Caps",120.83,51.66,0.46,283.58
4502.23,60,18,18,724,992,"CEU","Northern Italy","Nationals","e >500","Plugs and Caps","Caps",284.37,363.74,10.72,2430.7
7353.64,98,40,18,724,1842,"IAM","Northern Italy","Others","e >500","Plugs and Caps","Caps",254.97,742.4,77.77,3970.14
300.15,4,4,18,724,4147,"SCA","Northern Italy","Others","b 20-100","Plugs and Caps","Caps",14.04,57.02,0.35,162.05
7878.9,105,64,18,724,1894,"ITA","Northern Italy","Others","e >500","Plugs and Caps","Caps",426.29,1130.73,7.94,4232.97
2776.37,37,51,18,724,4058,"ITA","Northern Italy","Others","d 250-500","Plugs and Caps","Caps",159.49,437.46,5.25,1498.93
3001.49,40,29,18,724,4230,"UKE","Northern Italy","Others","c 100-250","Plugs and Caps","Caps",128.95,513.23,4.2,1620.46
750.37,10,4,18,724,1839,"CEU","Northern Italy","Others","e >500","Plugs and Caps","Caps",44.48,114.29,1.01,405.12
787.83,18,60,14,40,2667,"ITA","Northern Italy","Nationals","c 100-250","Plugs and Caps","Caps",128.28,163.28,1.11,704.14
150.72,2,18,18,255,3298,"SAM","Brasil","Others","d 250-500","Plugs and Caps","Caps",38.07,15.96,0.14,11.86
150.72,2,4,18,255,3298,"CEU","Northern Italy","Others","c 100-250","Plugs and Caps","Caps",13.3,20.18,0.19,11.86
1507.17,20,4,18,255,3373,"CEU","Northern Italy","Nationals","e >500","Plugs and Caps","Caps",102.55,121.68,3.57,118.57
1130.38,15,4,18,255,2910,"IAM","Northern Italy","Others","e >500","Plugs and Caps","Caps",44.57,113.8,11.79,88.93
3014.35,40,29,18,255,842,"ITA","Northern Italy","Others","e >500","Plugs and Caps","Caps",177.79,432.47,3.02,237.15
452.15,6,4,18,255,1192,"UKE","Northern Italy","Nationals","c 100-250","Plugs and Caps","Caps",17.64,48.19,0.58,35.57
452.15,6,18,18,255,1192,"UKE","Northern Italy","Others","c 100-250","Plugs and Caps","Caps",22.43,77.31,0.68,35.57
301.43,4,4,18,255,810,"CEU","Northern Italy","Others","e >500","Plugs and Caps","Caps",19.33,45.89,0.41,23.71
376.79,5,18,18,255,1023,"SAM","Northern Italy","Others","d 250-500","Plugs and Caps","Caps",10.28,24.59,0.32,29.64
9157.83,202,64,14,505,3396,"ITA","Northern Italy","Nationals","c 100-250","Plugs and Caps","Spare Parts",519.92,1865.32,10.27,8030.25
929.12,4,4,29,0,1,"SAM","Brasil","Others","d 250-500","Plugs and Caps","Caps",115.09,54.48,0.48,26.82
2880.99,39,4,18,334,4201,"SAM","Brasil","Others","d 250-500","Plugs and Caps","Caps",642.32,256.97,2.27,1623.63
147.74,2,4,18,334,2898,"CEU","Northern Italy","Others","c 100-250","Plugs and Caps","Caps",14.17,19.83,0.19,83.26
1846.79,25,4,18,334,3373,"IAM","Northern Italy","Others","e >500","Plugs and Caps","Caps",86.64,186.25,19.64,1040.79
369.36,5,4,18,334,810,"SCA","Northern Italy","Others","d 250-500","Plugs and Caps","Caps",19.57,43.64,0.57,208.16
295.49,4,4,18,334,4147,"CEU","Northern Italy","Others","a 0-20","Plugs and Caps","Caps",21.28,85.52,0.33,166.53
3915.2,53,51,18,334,908,"ITA","Northern Italy","Others","e >500","Plugs and Caps","Caps",260.38,562.54,4.01,2206.46
738.72,10,29,18,334,1839,"ITA","Northern Italy","Others","d 250-500","Plugs and Caps","Caps",51.64,116.23,1.42,416.31
1846.79,25,29,18,334,3373,"UKE","Northern Italy","Others","c 100-250","Plugs and Caps","Caps",103.49,316.54,2.69,1040.79
147.74,2,4,18,334,2898,"CEU","Northern Italy","Others","e >500","Plugs and Caps","Caps",10.6,22.54,0.2,83.26
181.88,4,4,14,12,4147,"ITA","Northern Italy","Nationals","c 100-250","Plugs and Caps","Spare Parts",23.98,37.63,0.25,160.72
90.94,2,4,14,12,2898,"ITA","Northern Italy","Others","c 100-250","Plugs and Caps","Spare Parts",11.75,10.04,0.1,80.36
195.6,2,4,16,16,965,"CEU","Northern Italy","Others","c 100-250","Plugs and Caps","Caps",20.72,25.87,0.22,18.37
195.6,2,4,16,16,965,"UKE","Northern Italy","Others","c 100-250","Plugs and Caps","Caps",13,33.2,0.26,18.37
215.18,2,4,16,72,965,"CEU","Northern Italy","Others","c 100-250","Plugs and Caps","Caps",17.8,28.23,0.22,19.05
537.96,5,4,16,72,2489,"ITA","Northern Italy","Others","e >500","Plugs and Caps","Caps",29.47,75.9,0.43,47.61
430.37,4,4,16,72,2003,"UKE","Northern Italy","Others","c 100-250","Plugs and Caps","Caps",19.37,73.05,0.57,38.09
645.55,6,18,16,72,2666,"SAM","Northern Italy","Others","d 250-500","Plugs and Caps","Caps",16.31,40.79,0.45,57.14
373.3,4,4,16,16,2003,"SAM","Brasil","Others","d 250-500","Plugs and Caps","Caps",75.52,35.4,0.31,36.96
3781.25,41,4,9,0,2442,"SAM","Brasil","Others","d 250-500","Plugs and Caps","Caps",505.64,179.66,1.56,1019.38
2397.87,26,29,9,0,1367,"CEU","Northern Italy","Others","c 100-250","Plugs and Caps","Caps",205.24,307.09,1.52,646.43
3227.9,35,29,9,0,2043,"ITA","Northern Italy","Others","e >500","Plugs and Caps","Caps",195.73,448.07,1.8,870.2
553.35,6,29,9,0,3037,"ITA","Northern Italy","Others","d 250-500","Plugs and Caps","Caps",34.55,83.86,0.58,149.18
830.03,9,40,9,0,3768,"UKE","Northern Italy","Others","c 100-250","Plugs and Caps","Caps",39.03,138.09,0.7,223.77
397.09,4,4,17,28,1249,"SAM","Brasil","Others","d 250-500","Plugs and Caps","Caps",81.2,35.44,0.31,36.42
297.82,3,4,17,28,966,"ITA","Northern Italy","Others","e >500","Plugs and Caps","Caps",13.6,42.23,0.26,27.32
847.84,5,29,13,60,3718,"FRA","Northern Italy","Strategic","Strategic","Plugs and Caps","Caps",151.92,77.46,1.18,132.43
359.79,4,4,14,20,1839,"SAM","Brasil","Others","d 250-500","Plugs and Caps","Caps",75.52,35.38,0.31,39.05
1182.28,7,4,29,0,836,"ITA","Northern Italy","Others","e >500","Plugs and Caps","Caps",97.07,167.74,1.04,146.76
486.64,3,18,29,0,3014,"ITA","Northern Italy","Others","a 0-20","Plugs and Caps","Caps",103.72,80.26,0.44,49.18
167.13,1,4,27,18,1355,"UKE","Northern Italy","Others","c 100-250","Plugs and Caps","Caps",25.82,28.34,0.22,29.38
704.75,5,4,28,0,4000,"UKE","Northern Italy","Others","c 100-250","Plugs and Caps","Caps",81.34,121.14,1.15,71.86
146.08,1,4,29,19,2581,"SCA","Northern Italy","Others","b 20-100","Plugs and Caps","Caps",29.49,28.17,0.2,41.24
336.48,14,51,3,42,3037,"FRA","Northern Italy","Strategic","Strategic","Plugs and Caps","Caps",126.23,30.32,0.37,62.02
6170.89,14,4,43,0,1,"SAM","Brasil","Others","d 250-500","Plugs and Caps","Caps",930.63,388.54,3.4,376.34
4848.56,11,29,43,0,1,"IAM","Northern Italy","Others","e >500","Plugs and Caps","Caps",130.34,475.69,35.71,311.99
4407.78,10,18,43,0,1,"SCA","Northern Italy","Others","d 250-500","Plugs and Caps","Caps",137.02,505.35,4.73,283.63
9697.12,22,29,43,0,1,"ITA","Northern Italy","Others","e >500","Plugs and Caps","Caps",450.83,1361.33,6.87,603.24
4848.56,11,40,43,0,1,"ITA","Northern Italy","Others","d 250-500","Plugs and Caps","Caps",236.66,745.92,6.45,311.99
881.56,2,4,43,0,1,"UKE","Northern Italy","Nationals","c 100-250","Plugs and Caps","Caps",23.44,89.37,0.8,56.73
1322.33,3,4,43,0,1,"UKE","Northern Italy","Others","c 100-250","Plugs and Caps","Caps",45.05,223.04,1.41,85.09
8728.6,19,4,44,0,1,"SAM","Brasil","Others","d 250-500","Plugs and Caps","Caps",1240.66,519.96,4.55,480.76
918.8,2,4,44,0,1,"CEU","Northern Italy","Others","c 100-250","Plugs and Caps","Caps",66,119.95,0.8,52.79
1378.2,3,4,44,0,1,"IAM","Northern Italy","Others","e >500","Plugs and Caps","Caps",34.71,134.87,9.74,79.19
918.8,2,4,44,0,1,"CEU","Northern Italy","Others","a 0-20","Plugs and Caps","Caps",38.47,261.69,0.69,52.79
1837.6,4,29,44,0,1,"IAM","Northern Italy","Nationals","d 250-500","Plugs and Caps","Caps",141.28,534.92,1.82,105.58
3675.2,8,18,44,0,1,"ITA","Northern Italy","Others","e >500","Plugs and Caps","Caps",164.45,514.84,2.5,211.16
459.4,1,4,44,0,1,"ITA","Northern Italy","Others","d 250-500","Plugs and Caps","Caps",21.58,70.32,0.59,26.4
368.93,2,4,27,5239,3751,"CEU","Northern Italy","Others","c 100-250","Plugs and Caps","Caps",29.69,48.12,0.35,106.35
8300.91,45,40,27,5239,451,"SCA","Northern Italy","Others","d 250-500","Plugs and Caps","Caps",312.68,955.94,9.42,2372.12
737.86,4,4,27,5239,1029,"SCA","Northern Italy","Others","b 20-100","Plugs and Caps","Caps",31.22,138.64,0.64,212.7
737.86,4,40,27,5239,1029,"ITA","Northern Italy","Others","a 0-20","Plugs and Caps","Caps",38.31,122.87,0.69,212.7
12543.6,68,60,27,5239,1503,"ITA","Northern Italy","Others","e >500","Plugs and Caps","Caps",663.64,1766.25,9.39,3595.14
2398.04,13,29,27,5239,2992,"UKE","Northern Italy","Others","c 100-250","Plugs and Caps","Caps",95.07,404.24,2.52,691.27
5718.4,31,18,27,5239,38,"UKE","UK","Nationals","b 20-100","Plugs and Caps","Caps",590.81,87.8,4.85,1648.42
97.76,1,4,14,5,1083,"ITA","Northern Italy","Others","d 250-500","Plugs and Caps","Caps",56.45,15.31,0.18,13.1
938.43,43,4,2,0,1,"SAM","Brasil","Others","d 250-500","Plugs and Caps","Caps",237.74,89.5,0.79,144.08
327.36,15,4,2,0,1,"SCA","Northern Italy","Others","d 250-500","Plugs and Caps","Caps",23.5,38.94,0.54,50.26
1964.15,90,29,2,0,1,"ITA","Northern Italy","Others","e >500","Plugs and Caps","Caps",167.05,282.93,2.13,301.57
1178.49,54,18,2,0,1,"ITA","Northern Italy","Others","d 250-500","Plugs and Caps","Caps",104.49,186.36,2.4,180.94
684.38,4,18,28,1440,3718,"SAM","Brasil","Others","d 250-500","Plugs and Caps","Caps",146.03,61.07,0.54,124.81
855.47,5,4,28,1440,4151,"NAM","Northern Italy","Others","e >500","Plugs and Caps","Caps",36.11,65.09,1.54,156.01
4619.55,27,18,28,1440,2999,"IAM","Northern Italy","Others","e >500","Plugs and Caps","Caps",156.26,457.2,38.77,842.48
1710.94,10,18,28,1440,1195,"SCA","Northern Italy","Others","d 250-500","Plugs and Caps","Caps",66.07,197.48,2.09,312.03
342.19,2,4,28,1440,2490,"SCA","Northern Italy","Others","b 20-100","Plugs and Caps","Caps",14.93,64.05,0.32,62.41
171.09,1,4,28,1440,1192,"IAM","Northern Italy","Others","a 0-20","Plugs and Caps","Caps",11.8,73.91,0.15,31.2
4277.36,25,18,28,1440,2917,"ITA","Northern Italy","Others","e >500","Plugs and Caps","Caps",229.34,604.91,3.45,780.07
1710.94,10,29,28,1440,1195,"ITA","Northern Italy","Others","d 250-500","Plugs and Caps","Caps",96.28,264.61,2.59,312.03
1710.94,10,18,28,1440,1195,"UKE","Northern Italy","Others","c 100-250","Plugs and Caps","Caps",70.48,289.73,1.99,312.03
342.19,2,4,28,1440,2490,"CEU","Northern Italy","Others","e >500","Plugs and Caps","Caps",19.79,51.17,0.37,62.41
1535.84,10,4,29,0,1106,"SAM","Brasil","Others","d 250-500","Plugs and Caps","Caps",270.16,120.58,1.06,159.07
1535.84,10,4,29,0,1106,"IAM","Northern Italy","Others","e >500","Plugs and Caps","Caps",31.55,152.97,14.05,159.07
921.51,6,4,29,0,4270,"ITA","Northern Italy","Others","e >500","Plugs and Caps","Caps",37.29,130.75,0.81,95.44
767.92,5,4,29,0,3967,"ITA","Northern Italy","Others","d 250-500","Plugs and Caps","Caps",33.31,119.46,1.27,79.53
1151.48,5,4,29,2622,981,"SAM","Brasil","Others","d 250-500","Plugs and Caps","Caps",173.8,74.36,0.65,242.57
18423.69,80,18,29,2622,734,"IAM","Northern Italy","Others","e >500","Plugs and Caps","Caps",441.61,1816.2,142.52,3860.33
921.18,4,29,29,2622,4471,"SCA","Northern Italy","Others","b 20-100","Plugs and Caps","Caps",30.74,173.22,0.8,194.05
4836.22,21,51,29,2622,3339,"ITA","Northern Italy","Others","d 250-500","Plugs and Caps","Caps",224.19,747.06,6.89,1018.78
921.18,4,18,29,2622,4471,"UKE","Northern Italy","Others","c 100-250","Plugs and Caps","Caps",30.98,155.89,1.16,194.05
661.27,3,4,29,0,1,"ITA","Northern Italy","Others","e >500","Plugs and Caps","Caps",44.95,93.2,0.52,45.38
1600.35,7,18,28,640,1966,"SAM","Brasil","Others","d 250-500","Plugs and Caps","Caps",242.08,98.26,0.86,350.48
914.49,4,4,28,640,1046,"IAM","Northern Italy","Others","e >500","Plugs and Caps","Caps",28.08,89.7,6.71,200.27
914.49,4,18,28,640,1046,"ITA","Northern Italy","Others","e >500","Plugs and Caps","Caps",46.01,128.09,0.65,200.27
457.24,2,4,28,640,3785,"ITA","Northern Italy","Others","d 250-500","Plugs and Caps","Caps",24.06,70.14,0.61,100.14
685.86,3,4,28,640,824,"SAM","Northern Italy","Nationals","d 250-500","Plugs and Caps","Caps",19.11,56.65,0.48,150.2
461.15,3,18,28,0,3014,"ITA","Northern Italy","Others","e >500","Plugs and Caps","Caps",26.79,66.09,0.47,48.53
