"Cost_of_Goods_Sold_EURO","Quantity_units","Number_of_Deliveries","N_Parts","Assembly_Labour_Minutes","Machinery_Minutes","Geographical_Area","Plant","Customer_Class","Turnover_Range_EURO","Product_Line","Product_Type","Total_Cost_of_Distribution","Total_Customer_Order_Management_Costs","Customer_related_Issues_Costs","Total_Operations_Costs"
1285.53,46,4,7,0,1,"CEU","Northern Italy","Others","e >500","Plugs and Caps","Spare Parts",96,100.44,1.52,129.26
518.6,14,29,1,0,1,"ITA","Northern Italy","Nationals","e >500","Plugs and Caps","Spare Parts",58.67,54.13,2.08,38.94
185.21,5,4,1,0,1,"ITA","Northern Italy","Nationals","c 100-250","Plugs and Caps","Spare Parts",24.62,21.24,0.28,13.91
326.35,35,29,1,0,1,"IAM","Northern Italy","Others","b 20-100","Plugs and Caps","Spare Parts",76.7,94.1,0.69,10.25
354.33,38,29,1,0,1,"ITA","Northern Italy","Nationals","c 100-250","Plugs and Caps","Spare Parts",81.07,50.43,0.49,11.13
150.03,3,18,1,0,1,"FRA","Northern Italy","Nationals","a 0-20","Plugs and Caps","Spare Parts",26.11,30.55,0.35,10.44
300.07,6,29,1,0,1,"IAM","Northern Italy","Others","b 20-100","Plugs and Caps","Spare Parts",43.6,85.73,0.57,20.88
800.18,16,9,1,0,1,"CEU","Northern Italy","Nationals","e >500","Plugs and Caps","Spare Parts",110.3,73.14,73.37,55.68
700.16,14,60,1,0,1,"ITA","Northern Italy","Others","b 20-100","Plugs and Caps","Spare Parts",114.19,479.65,3.78,48.72
150.03,3,18,1,0,1,"CEU","Northern Italy","Others","e >500","Plugs and Caps","Spare Parts",27.15,21.63,0.24,10.44
1553.63,48,51,9,0,1,"ITA","Northern Italy","Others","c 100-250","Plugs and Caps","Spare Parts",104.81,166.86,1.31,157.95
323.67,10,4,9,0,1,"ITA","Northern Italy","Nationals","c 100-250","Plugs and Caps","Spare Parts",17.08,35.35,0.36,32.91
679.72,21,29,9,0,1,"ITA","Northern Italy","Others","b 20-100","Plugs and Caps","Spare Parts",46.33,162.92,0.85,69.1
323.67,10,4,9,0,1,"ITA","Northern Italy","Others","e >500","Plugs and Caps","Spare Parts",19.48,33,44.78,32.91
2277.51,20,40,1,0,1,"ITA","Northern Italy","Others","b 20-100","Plugs and Caps","Spare Parts",201.33,555.37,3.63,115.8
109.72,6,29,3,0,3145,"FRA","Northern Italy","Nationals","c 100-250","Plugs and Caps","Spare Parts",25.63,19.77,0.23,31.63
131.43,5,4,1,0,1,"FRA","Northern Italy","Strategic","Strategic","Plugs and Caps","Spare Parts",27.53,226.51,0.33,14.13
788.55,30,29,1,0,1,"ITA","Northern Italy","Nationals","e >500","Plugs and Caps","Spare Parts",123.15,80.77,2.88,84.76
983.01,25,18,1,0,1,"CEU","Northern Italy","Nationals","e >500","Plugs and Caps","Spare Parts",104.42,94.74,2.77,29.98
1108.88,31,60,1,0,1,"FRA","Northern Italy","Strategic","Strategic","Plugs and Caps","Spare Parts",361.77,3120.11,4.51,34.32
372.98,174,51,1,0,1,"ITA","Northern Italy","Nationals","e >500","Plugs and Caps","Spare Parts",82.35,47.53,3.1,22.18
1286.12,600,74,1,0,1,"ITA","Northern Italy","Nationals","e >500","Plugs and Caps","Spare Parts",340.54,109.43,5.77,76.5
144.21,13,29,1,0,1,"ITA","Northern Italy","Nationals","e >500","Plugs and Caps","Spare Parts",72.02,15.45,0.65,25.99
182.2,8,18,1,0,1,"ITA","Northern Italy","Others","a 0-20","Plugs and Caps","Spare Parts",81.99,73.8,0.14,85.34
91.26,52,29,1,0,1,"ITA","Northern Italy","Nationals","c 100-250","Plugs and Caps","Spare Parts",90.01,11.13,3.94,11.93
282.14,20,4,1,0,1,"CEU","Northern Italy","Others","a 0-20","Plugs and Caps","Spare Parts",67.15,163.12,0.55,12.49
